Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
Tony Hawk: Shred,Wii,2010,Sports,Activision,0.41,0.11,0.0,0.04,0.56
Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
The Hustle: Detroit Streets,PS2,2006,Sports,Activision,0.02,0.02,0.0,0.01,0.05
Unreal Tournament III,X360,2008,Shooter,Midway Games,0.25,0.17,0.01,0.05,0.48
NieR,X360,2010,Role-Playing,Square Enix,0.13,0.1,0.04,0.02,0.29
Rango: The Video Game,Wii,2011,Action,Electronic Arts,0.08,0.04,0.0,0.01,0.13
SD Gundam Force,GBA,2004,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01
Virtua Fighter 3tb,DC,1998,Fighting,Sega,0.0,0.0,0.37,0.0,0.37
Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
Exhibition Volume 5,XB,2004,Misc,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05,0.27
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0.0,0.0,0.27
Code Lyoko,DS,2007,Action,Game Factory,0.03,0.01,0.0,0.0,0.04
Payday 2,XOne,2015,Shooter,505 Games,0.08,0.07,0.0,0.01,0.16
Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.29
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.16
Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment,0.08,0.0,0.0,0.01,0.09
Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0.0,0.04,0.63
Sudokuro,DS,2007,Puzzle,Crave Entertainment,0.1,0.0,0.0,0.01,0.11
Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008,Racing,Takara Tomy,0.0,0.0,0.01,0.0,0.01
Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0.0,0.0,0.11
Treasures of the Deep,PS,1997,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.18
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15
Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0.0,0.0,0.16
Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0.0,0.04,0.34
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
Spy vs Spy,XB,2005,Action,Global Star,0.08,0.02,0.0,0.0,0.1
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42
Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0.0,0.02,0.11
Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.18
Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.02,0.11
Need for Speed Underground,PC,2003,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.05
Robotron 64,N64,1998,Shooter,GT Interactive,0.07,0.02,0.0,0.0,0.09
Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.02,0.0,0.0,0.0,0.02
Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0.0,0.01,0.76
Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.64
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17
Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08
Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0.0,0.0,0.01,0.19
Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
The Guy Game,XB,2004,Misc,Gathering of Developers,0.05,0.02,0.0,0.0,0.07
Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.25
NCAA Football 08,XB,2007,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08
NHL 06,XB,2005,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25
Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.51
Yakuza Kiwami,PS3,2016,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
Ore wa Shoujo Mangaka,PSP,2012,Action,Giza10,0.0,0.0,0.02,0.0,0.02
Rocky Balboa,PSP,2007,Sports,Ubisoft,0.01,0.09,0.0,0.01,0.11
Victory Spike,PS,1996,Sports,Imagineer,0.0,0.0,0.01,0.0,0.01
Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0.0,0.0,0.0,0.04
State of Emergency 2,PS2,2006,Shooter,SouthPeak Games,0.04,0.03,0.0,0.01,0.08
Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0.0,0.03,0.0,0.0,0.03
Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,0.04,0.0,0.0,0.0,0.04
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
King Arthur,GC,2004,Action,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04
Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03
Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,Gust,0.0,0.0,0.04,0.0,0.04
Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.27
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0.0,0.0,0.05
Steins;Gate: Hiyoku Renri no Darling,PS3,2012,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
Crime Scene,DS,2009,Adventure,Nobilis,0.0,0.02,0.0,0.0,0.02
Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0.0,0.32,2.85
Circuit Breakers,PS,1998,Racing,Mindscape,0.04,0.03,0.0,0.0,0.07
Rozen Maiden: Gebetgarten,PS2,2007,Fighting,Taito,0.0,0.0,0.01,0.0,0.01
Sea Park Tycoon,DS,2010,Simulation,Foreign Media Games,0.02,0.01,0.0,0.0,0.03
Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.13,0.02,0.0,0.01,0.16
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.0,1.12,0.0,0.03,1.15
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,0.02,0.0,0.0,0.0,0.02
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0.0,0.07,0.85
Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.1,0.0,0.04,0.21
Super Robot Taisen XO,X360,2006,Strategy,Banpresto,0.0,0.0,0.01,0.0,0.01
Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.13,0.0,0.05,0.3
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0.0,0.05,0.37
Looney Tunes: Galactic Sports,PSV,2015,Action,Sony Computer Entertainment,0.0,0.06,0.0,0.02,0.08
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,0.0,0.0,0.17,0.0,0.17
FIFA Manager 12,PC,2011,Sports,Electronic Arts,0.0,0.03,0.0,0.01,0.04
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18
UEFA Euro 2008 Austria-Switzerland,PSP,2008,Sports,Electronic Arts,0.06,0.13,0.0,0.06,0.25
TOCA Race Driver 3,PC,2006,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23
"Army Men World War: Land, Sea, Air",PS,2000,Action,3DO,0.17,0.12,0.0,0.02,0.31
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.31
Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0.0,0.0,0.06,0.0,0.06
SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.04
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72
Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0.0,0.0,0.17,0.0,0.17
"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.74
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.43,0.0,0.0,0.03,0.46
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18
PictoImage,DS,2007,Puzzle,Sega,0.1,0.0,0.0,0.01,0.11
Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0.0,0.02,0.0,0.01,0.03
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.46
El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0.0,0.34,2.68
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.22,0.0,0.22
MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82
Twinkle * Crusaders GoGo!,PSP,2010,Adventure,ASCII Media Works,0.0,0.0,0.02,0.0,0.02
One Piece: Grand Battle!,PS,2001,Fighting,Atari,0.0,0.0,0.46,0.03,0.49
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
The Warriors,PS2,2005,Action,Take-Two Interactive,0.44,0.02,0.0,0.07,0.53
The Sims 2,PC,2004,Simulation,Electronic Arts,0.02,0.24,0.0,0.05,0.31
NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.55
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0.0,0.0,0.08,0.0,0.08
Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,0.19,0.13,0.0,0.02,0.34
Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
Curse of the Amsterdam Diamond,DS,2012,Puzzle,Easy Interactive,0.0,0.01,0.0,0.0,0.01
SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34
Conflict: Desert Storm,GC,2003,Shooter,SCi,0.06,0.02,0.0,0.0,0.08
Mystic Ark,SNES,1995,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49
Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.03
Rugby 06,XB,2006,Sports,Electronic Arts,0.01,0.0,0.0,0.0,0.01
FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
Ore no Yome: Anata Dake no Hanayome,X360,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0.01,0.0,0.0,0.0,0.01
Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0.0,0.0,0.04,0.0,0.04
Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
Garfield's Nightmare,DS,2007,Platform,Game Factory,0.01,0.0,0.0,0.0,0.01
Turbo Turtle Adventure,GBA,2002,Puzzle,Majesco Entertainment,0.04,0.01,0.0,0.0,0.05
Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0.0,0.0,0.02,0.0,0.02
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.98
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0.0,0.14,0.85
Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.23
Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0.0,0.0,0.15,0.0,0.15
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.01,0.0,0.11,0.0,0.12
NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0.0,0.0,0.01,0.05
Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0.0,0.0,0.01,0.0,0.01
Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,0.01,0.04,0.0,0.01,0.06
Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0.0,0.0,0.1
Alpha Protocol,PC,2010,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.04
Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.01,0.03,0.02,0.34
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,0.18,0.14,0.0,0.05,0.37
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010,Misc,Alchemist,0.0,0.0,0.02,0.0,0.02
Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,0.01,0.0,0.0,0.0,0.01
FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11
Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,0.09,0.0,0.02,0.01,0.12
Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.05,0.02,0.0,0.0,0.07
Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
Saki: Zenkoku-hen,PSV,2015,Misc,Kaga Create,0.0,0.0,0.05,0.0,0.05
Wild West Shootout,Wii,2010,Shooter,Unknown,0.01,0.01,0.0,0.0,0.02
NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0.0,0.0,0.01,0.1
Kouchuu Ouja Mushi King: Super Collection,DS,2007,Action,Sega,0.0,0.0,0.11,0.0,0.11
¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0.0,0.0,0.14,0.0,0.14
Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0.0,0.05
MotoGP '06,X360,2006,Racing,THQ,0.11,0.01,0.0,0.01,0.13
Company of Heroes,PC,2006,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
Road Trip: Shifting Gears,GBA,2002,Racing,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01,0.02,0.11
MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2
Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.27
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0.0,0.0,0.18
Namco Museum Vol.4,PS,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.16,0.01,0.2
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft,0.05,0.01,0.0,0.0,0.06
Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0.0,0.04,0.52
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Guitar Hero: Van Halen,PS2,2009,Misc,Activision,0.05,0.04,0.0,0.01,0.1
IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,0.06,0.0,0.0,0.0,0.06
Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08
Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.03,0.0,0.01,0.07
Rec Room Games,Wii,2009,Sports,Destineer,0.35,0.0,0.0,0.02,0.37
Winning Post 7: Maximum 2007,PS2,2007,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,0.05,0.01,0.0,0.0,0.06
Kidou Senshi V Gundam,SNES,1994,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.39
Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
Invasion From Beyond,PS,1998,Shooter,GT Interactive,0.05,0.03,0.0,0.01,0.09
NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.07
Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.22
Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.3,0.0,0.0,0.02,0.32
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,0.0,0.0,0.06,0.0,0.06
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14
Petz: Saddle Club,PSP,2009,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.09
The Inner World,PC,2013,Adventure,Headup Games,0.0,0.03,0.0,0.0,0.03
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6
JU-ON: The Grudge,Wii,2009,Action,Rising Star Games,0.08,0.01,0.01,0.01,0.11
Parfait,PSV,2015,Adventure,TGL,0.0,0.0,0.03,0.0,0.03
NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0.0,0.0,0.01,0.19
Spider-Man: Friend or Foe,Wii,2007,Action,Activision,0.13,0.01,0.0,0.01,0.15
Koudelka,PS,1999,Role-Playing,Atari,0.05,0.03,0.0,0.01,0.09
Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,0.16,0.04,0.0,0.0,0.2
Rugby World Cup 2015,PC,2015,Sports,Ubisoft,0.0,0.01,0.0,0.0,0.01
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.26,0.0,0.31,0.02,0.59
Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
Up,PSP,2009,Action,THQ,0.24,0.1,0.0,0.07,0.41
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,0.16,0.03,0.0,0.01,0.2
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.78
Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,Capcom,0.0,0.0,0.01,0.0,0.01
Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.08
